id,label,text
11,1,"Sumbers sing gedhé, saksa-saliran lan keséhatan saka cinema Amerika sing ndelok Martin Scorcese. Pancèn, ora ana saben jam sing metu ing saben 4 jam. Akèh gener, periode lan direktor sing ditemokké kabèh, dibahas luwih akèh saka pandhangané cinephile timbang pendidikan jaman. Kanggo sapa waé sing adoh perduli karo film Amerika, utawa cinema ing umum. Maksud, lan sing paling apik saka BFI Century of Cinema Series.<br /><br />"
12,0,"Lord saya, yah a film! Ayo kita omongké bab ""Effects spesial"" sing sepisanan. Adoh nggawe aku salah ing sini, aku dudu salah siji salah siji pengaruh fanatik, ning aku bener - bener mikir nèk superimposition kuwi latihan jaman mbiyèn, kususé 60's. Mungkin aku rumangsa wis numpak film iki suwé jaman mbiyèn lan kuwi digawe kanggo salang-saklawasé nyolong. Nanging, kaya aku ngerti wong kuwi ora nduwé ponsel ing 60's...<br />Oh, aku nggolèk film sing paling suwé, sing paling luar bintang sing paling apik. Aku gampang nggatèkké film iki, maksudéné aku nggawa film sing paling dimaksud."
13,1,"Kowe kenal karo sebagéan sing béda wektu ana film Christopher Walken maca bagéan saka profesional hit man - lan malah dudu salah siji wong sing jahat! Senajan kuwi isa ditindakké karo ana wong liya sing jahat ing kono lan ing kono, ""Man on Fire"" kuwi jeneng kejahatan sing jenengé tujuan saka alam sentimental to the dought - and mung soal saben toon sing isa digawé ing antara.<br /><br />Denzel Washington stars as Creasy, a kolean pembunuh CIA sing éntuk barang-barang bisnis, nanging nggo wacan penyebaran dosa. Saiki, dia nggawa jawaban sing dinggo kejawab ing botoné, maksud biyasa."
14,0,"Sing cocok nyolong nggoleh nyolong sing ditimbangké bab bahaya Perang Donya II. Misteri yaiku Jane Graystone (Nancy Coleman) nduwé amnesia. Aksi sing paling apik dilakukan karo Raymond Massey kaya Dr. Ingersoll, dokter sing apik sing nanggap sing jahat. Dhèwèké dadi kepala cincin mata mempeng éntuk informasi saka amnesiac Jane, informasi sing coded sing ana hubungané karo kegiatan sing alus. Apa dhèwèké ngendika apa? Apa dhèwèké isa éling? Moroni Olson (kok Mr. Goodwin) kuwi dadi komplis to Massey. Peranan sing digawé karo John Garfield (kok Dr. Lewis) kuwi ora ana gampang bahaya."
15,0,"Wong - wong sing rumangsa ing omah aku isa ndelok piyé wong - wong kuwi nggatèkké film kuwi. Wong - wong sing njawab, tanpa kepentingané, kuwi ora gampang dingertèni. Jerman - Jerman kuwi digambarké dadi wong sing ora cocog lan Rusia. Sing romantik kuwi superfluus lan sing dipengaruhi. Ana wong wédok enom sing isa 'katresnani' lan mung nglimpské film kuwi kosong. Kaya sing disebutké ing pungkang film, ora isa nikah mung merga infatuasi kuwi ora ana ing aku. Aku nyebut Jerman kuwi digambarké dadi bodoh lan sing digambarké ing jenengé mung mung kacah."
16,1,"Patang tembung sing digawe ngapa film iki digawe - ""Dhuh Hit's Salah"". Sukses sing gedhé mlebu Mae Kulon ngucapké studio teras nganggo Gay '90s melodramas kuwi sumbangan sing mlebu. Iki diberkahi nganggo sing cepet pindhah, sing tertulis romp sing rapih nggawe pribadiné lintang - <br /><br />> Wallace Beery lan George Raft sing apikan dadi mungsuhé ramah; Jackie Cooper kuwi luwih gampang digangguh, ning kuwi Fay Wray sing nyolong film karo gajiné-in-negosiné ing kasusahan. Nganggo direktor sing kuat - kaya Walsh mbuktèkké nèk digawang - Wallray isa nggawa adoh puting, lan barang sing dipercayake Raf, lan nyolong.<brbr>"
17,1,"Ketinggalan sèrié TV ngenengi wong sing wis ditinggal mati ing pulau. ana akèh sing ngganggu lan ora isa mutuské sapa karaktermu sing disenengi, siji menit dhewe digawé, mung sithik mung digawé, mung sewene penyakit sing paling sithik mung digawé. Suspense, aksi, romantis, humour nggawa saiki saiki nggawe eposisi sing paling pendek, lan kowé maksudé nggawe noo ooooooooooooooooooooo!!!!!mu kudu ngentèni seminggu sing sakbanjuré, ning kuwi aji gunané. Suspense, aksi, romantism, mung nggawa isiné nggawe nggawe bocah - bocah sing paling becik, mung kok cocok isa kepikir."
18,0,"Wacanen Josh Kornbluth 'act' ing film iki ngélingké aku karo kelas produksi TV sing nyerga, yaiku kelas 'gawe' nduwe kesempatan kanggo mbuktèkké sepira kecenduhan sing bener!<br /><br />OBVIOus' kuwi tembung sing isa dipikir wektu aku nyoba sinopsize komédia iki. Gawe-gawe kuwi sophomorik lan telegram. Ngedekna!!!!!!! Tulisan kuwi mung dorki. Iki akin kanggo a show Bob Saget. <br /><br />/>Ngewek film iki dadi sengsara nggangguh setengah jam Sabtu lan setengah jam Sabtu (Skipost!)!!!!!!!!!"
19,1,"Ana akèh rembugan ing halaman iki sing bakal nerangké rincian film kuwi luwih cetha timbang aku, ning aku péngin nawakké wacan sing gampang kanggo wong - wong sing kadhang kala lunga menyang film kanggo luwih timbang hiburan. Nggedhèkké Victor Vargas kuwi bener banget kowé bakal percaya."
20,1,"*** SPOILERS **** <br /><br /> film iki wis biasané ngluhurké, nganti aku ngélingké nèk campus kulitanku wis nduwèn sing durung dipercaya-nazi-racist-killer-killer-the-the-thek-sesanduh-suicid, uga: jenengé Benjamin Nathaniel Smith.<br /><br /><br />Liyané ing wikipedia- aku nambah foto-foto ing artikelmu bab kuwi.<br /><br />Itu gampang dipercaya, ning barang-barang iki pancèn kelakon.<br /><br /><br />Ii dudu fan gedhé Omar Epps utawa Ice Cube, ning Larry Fishburn, Kristi Swanson, Connel & Rapport."
21,0,"Aneh, kowe kenal sithik! Iki kudu dadi film sing paling paling gedhé. Aku mung isa mbayangké Stephanie Beaham sing nduwèni barang-barang kanggo mbayar.<br /><br /><br />>Panggonan pemimpin diganggu (untuk aku) asing sing tak dikenal lan aku bayangna nganggo film sing paling gedhé sakwisé aku wis suwé."
22,1,"Perumpamaan iki sing ora ngajèni kekuatanku. <br /><br />Ku ngajèni lan ngajèni PAUL MUNI wis suwé. Saiki aku wis ngentèni crita sing ora sampurna iki. Ning, saiki aku wis nemokké hadiah sing aji saka LUISÉ RAINER. Oh, sepira wajah sing isa ngomong karo jiwaku nganggo gembira."
23,1,"Angel sing gedhé kuwi saru antara Dunya Anyar Huxley lan Percy's Criend in the Ruins - portréating mangsah sing ora adoh dadi penyakit karusan lan keterusan, nganggo terang sing paling gedhé. Saksuwéné ana sing nggoleng teknologi modern sing isa ditimbang karo ""Puls"", kuwi nyedhiyake panggonan sing nyenengké kanggo mriksa kepribadian lan hubungané antara karakter-Max (angel/Bik) lan Logan (anggeli sing sugih)."
24,1,"Film iki pancèn luar biasa. Senajan film iki ora nggumun, Nicole Kidman nggawa film sing gampang dilali, senajan Ben Chaplin nindakké gawéan sing apik ing Hertfordshire Kehidupan sing nggolèk tembakan St Albans & Hemel Hempstead pusat kutha sing nggambarké tujuan sing sejati ing dhaérah kuwi. Opo sing mulai mulai nggawa eposi real tim popular TV sèri Inggris""Heartbeat"" dadi gritty gangster action away flick. Ora ana sing bener - bener lali sing kelakon ing film sing sederhana lan mung pungkas hiburan sing cocog."
25,1,"Reviewing iki wis daftar karo Keith Moon lan John Entwisstle.<br /><br />>The Original Drum and Bass.<br /><br /><<br />Khong thok becake sithik awal sing dimaksud Who's images saiki, jika ana luwih'd thourt's being's, sawering-a-days' kuwi dadi salah siji jeneng Who's totally, a parody, a shadow of the Original Drum and Basss."
26,0,"Ketemu bagéan GEORGE 2 ing TV, nanging ora isa nggawe aku nggawe nganti pungkasan. Aku malah ora isa ngéling - ngéling rekaman. Aku ngerti nèk George lan Ursula kuwi dudu George lan Ursula film sing sepisanan, sing cukup salah. Ana akèh sing nggawe, nanging arahan lan pendidikan kuwi dinggo dinggo dinggo dinggo dinggo nggawe utawa iso. Minggo suara asliné Ape Ape balik ora cukup kanggo nggawé aku nyenengkake iki. GEORGE 2 mungkin seksi sing paling paling paling gedhé, nanging nganggo, mung ngendi, mung, IbMDney sing ngendi 10 gambar."
27,1,"Aku ora isa ngandhani sepira akèh sing tak tresnani film iki. Film iki dadi salah siji salah siji sing paling dikenal lan salah siji film sing paling didelok. Film sing mlebu ing rap group, NWH (Ni#$%rs with Hats) Itu mulai saka wiwit kelompok iki nganti pungkang kelompok. Saka kelompok kuwi rusak. Sak kelompok kuwi ana pendapahan dokumental Nina Blackburn. <br /><br />The film ana ing sweetstring budget, ning kuwi ora mahal, iki a gawé banget, film lan performance sing cocog karo kabèh aktor-na. Film sing dibukti gambar kino, gambar gambar."
28,0,"Sing salah siji film nikah sing paling lumpuh didelok. Smacks telu-time jamané mung nganti ditapi sakdurungé diteater. Stéreotipo-tipo suku kuwi kaya Henny Youngman, kecuake mung nyolong ing sithik lintang iki. Molly Ringwald, anyo apa manèh sing perlu diopo. Manggo kowe petunjuk kanggo njupuk klambi pernikahan 10.000 dolar, merga ""Itu ora aku"" nggawe nyolong, nganggo tambahan lan nganggo tongkat, lan saben wong mèsem ngguyu sing nyeneng mukmu, timbang ringwal."
29,1,"Wong lan bojoné ngganggu kecelakaan mobil sing mèh. <br /><br />Itu ketemu dari direktor Rob Schmidt, sing nggawé ""Wrong Turn"" (a film sing tak weruh). Wong lanang kudu milih antara plug lan ngongkon urip. Putusan kuwi digawé luwih gampang wektu dhèwèké sadar nganggap anggo cara mlebuké bales marang dhèwèké lan wong liya."
30,1,"Barbara Bach maju Jennifer Fast, salah siji reporter televisyen sing mlaku karo kelompokné (Karen Lamm lan Lois Young) menyang Solvang, Kalifornia. Masalah yaiku panggonanmu wis jatuh mlebu lan kabèh hotel ing kutha wis penuh. Mula, wong kuwi lunga metu saka kutha ing lokasi adoh lan nggolèk gunané panggonan sing marahi Ernest Keller (a fenomenan Sydney Lassick). Pak kowe ora ngerti kuwi, Ernest lan bocah lembut Virginia (Lilia Goldoni) sing mbuyok rahmat sing gedhé ing susternya: piotable, deformable, diaper-clue""Juni"" (Stephen Furst, ing a performance) sing luar biasa. <br> Kuwih kendholi film / click>."
31,0,Duduh karakter sing isa disembah (pengitan iku salah siji gambar WORST of Woody Allen/Paul Provensa/Reiser) lan wicak cilik sing digawé (Apa sing bener-bener ngira bocah cilik tiat ing rollblades ING nggawe nyokok wong kuwi?) mung lara parah.<br /><br /><br />
32,1,"Aku nggumun banget nèk film kuwi sakjané isa nyingkirké budaya americanku lan budaya - budaya sing saiki, m.i. Cina. kuwi dadi cerita bab nilai, lan sing nggawé penjaga nggolèk pilihanmu dhéwé, lan setya marang institusi. Kuwi nggumun banget, kuwi isa nindakké kuwi nganggo cara sing lembut, mung humoran, sing mung ngrembug nggawa ancang status quo siji. Aku seneng karo film, lan nggatèkké iku manèh nèk aku isa."
33,0,"Nganggo cara, Corridors of Time's a sukses, marga film kuwi sampurna : didelok karo éwonan. Nanging kuwi gagal nganggo ngguyu...<br /><br />Les Visiteurs wis suksès, marga topik kuwi dadi salah siji cara kanggo mikirké wektu : Lali Zemeckis's Back to the success, ketoke film sing lapok : wit-teral-head heading style-dhow-dhow : <brum/barbarbarric >, Full of sorow, gratis gunting karo tembung kuna, Montmirail isa dadi goroh tapi ngganggu kehormuné.Ngih kelakon sekendhuh. <br /></br>Nobody cocog to mail's format of the format of the Lebril>."
34,1,"Ya, dheke, yah, kuwi sedikit clichéd lan ya, Constance Marie kuwi total lan layak ndelok bojo lan lila. Lelukon lan gags mbokmenawa dadi laporan lan kelakon sakwisé sewak, tapi show isih seneng ndelok. Merga kuwi isih kesenangan keluarga sing dipangan lan penulis nggawe barang keluarga lan idea ing antara gags.<br /><br />George Lopez kuwi lucu. Aja nganggap serily karo show sing menang. Aku yakin ora maksud karakteré sejati utawa paragon."
35,1,"Deathtrap dudu sing kelakon karo sing sepisanan. Iki gampang nerangké film iki tanpa mènèhi apa-apa mung aku ora nyritakké apa-apa bab rekaman kuwi. Saksuwéné koyo koyo Cris Reeves sing paling paling gedhé dadi Clifford, sing jeneng dolanan. Panjenengan pancèn ndelok kemampuan sing digawé ing film iki saka ""kesusburgers"" kanggo nggewek. Clifford kuwi peranan sing gampang kanggo main lan ing produksi iki tak durung ndelok Clifford maca petugas sing paling apik ing kono Clifford. Akter sing jenengé mung wong sing wis didelok mung kawe Michael."
36,1,"Akèh wong sing kandha nèk Al Pacino nganggo tindakan, ning aku maksudé biasané kanggo film kaya iki -- siji tuan narkoba narkoba kuban kowé butuh nggawe nganggo asentan kuwi."
37,1,"Film sing nyenengké banget. Paling apik dilindhung dadi romantis timbang penerbangan utawa perang, ALTO barang-barang liya kuwi realis lan mèh kesalahan bebas. Buffs sing mlebu kaya aku bakal nyenengké film iki senajan ana pesawat, ketimbang ora nduwé sensitif utawa durung ditresnani.<br /><br />>Fun nonton awal Crowe. Wong sing apik lan edudes charm. Macake ""High Flight"" kuwi luar biasa.<br /><br />>Cheers, Boom"
38,1,"Prix de Beauté digawe nganggo linya, nanging diparing ing Italia lan bagéan liyané. Aku cukup beruntung kanggo ndelok Lucteca di Bologna sing ketemu sedikit ing Eropa timbang ing Hollywood. Asal kuwi digawe nganggo soundtrack ing France, nganggo aktris Prancis sing ngomong linya, nanging dipacang ing Italia lan pirang-pirang liya. Aku cukup berun kanggo ndelok gambar anyar Lucteca di Bologna sing ngganggawa gambar anyar utawa gambar sing dinggo dinggo gambar."
39,0,"**LIGHT SPOILER ALIRT*** Cerita kuwi ndelok apik lan jika kowé maca novel, nan kowe ngarepke film sing gedhé lan intens sing isa nawakké perhatian kanggo ana hubungané manungsa sing menarik lan ora cukup.<br /><br />True cukup, script kuwi ngupaya nindakké kuwi, nanging gampang gampang. Maria aksi sekolah sing dimaksud tema, ora ana gunané, ora ana rikruan sing dimaksud, ning Maria sing tampak kok kok kosong, ning kok ana hubungan sing cocok, tapi kok kok ana hubungan sing cocok."
40,0,"Ing salah siji tembung... abysmal. Aku ngekèki satu bintang kanggo hippie sex sex lan wadon-woro, ora lali. Perusahaan sing paling apik Corman, bar none. Ben Vereen kudu diganggu jenengé sing sengsara. Aku ora isa percaya saiki iki arep ing DVD (nanging deloning 2/15/05) karo ""Wild In The Streets"" karo ""Wild Streets"" - anyar retro smunder. Aku ngenterke lara ing bed sing didho, mutuske film kanggo mempeng aku, scen channel digital... premis cukup merga aku seneng nggat B-movie scifi-fi flicks. I cocog karo film anyar, gambarmu, gambarna film anyar, gambarna filmku, gambar, gambarna filmku, gambar, gambar, gambar, gambar, gambar, gambar,"
41,0,"Iki film sing èlèk banget. Aku ngguyu pindho ping pindho, lan line kuwi nggolèk! Mbokmenawa ana salah siji kecanduan, kuwi bodho lan kuwi bodho. Aku turu nganggo film sing mudhun lan aku bingung kapan kuwi arep pungkasan. <br /><br />> Ora ana sing tumindak manuk, lan kabèh sing tumindak bodoh lan ora gampang. Rob Schneider tumindak kaya kéwan sing dudu gaji sing tak delok. Ning, kuwi gampang lumpuh, nanging line sing lumrah: DONE WAY WAS ON SUK REIDULUS AN STUPIDE MOVIE. <br /> I bingung karo film sing ora dingertèni!"
42,0,"Kaligula ora nganti aku nggolèk film setengah-hole... nanging aku mung nganti 15 menit. Sayangé, aku ngakoni kowe ora."
43,0,"Masalah - film iki mung suwé TV-Production. Aku ndelok materal promotion sing gek banget lan ngarepke a professionell Film seperti ""Stormriders"" - apa sing aku ditampani yaku a bawah-Budget-Fism kaya ""XENA"" utawa ""Herculas"" ing TV. Ora Atomfera, luwih menyu, luwih buruk, luwih buruh Plute-Scenes. Idea sing apik - ora luwih. Aku arep aku éntuk film sing kaya iki lan aku nduduhké piyé carané nindakké film kuwi!!!!<br /><br />>>MUSASIAN-Tipps: ""MUSA - WARRI"", ""STORRIDERS"", ""SHALIN SOPERBA"", ""SOLIN"", ""ROBERS"", <SubR>"
44,0,"Lordi kuwi salah siji hipe lan revelation ing taun 2007 karena mereka menang ing Eurovision Song Contest karo a (not-so-heavy) lagu metal sing disebut ""Hard Rock Halleluya"" lan muncul ing stadium sing dinggo hideo monsters. Nanging, ayo kita ngadhepi, kemenangan kuwi paling mungguh ana hubungan karo talenta musik sing gedhé. The Eurovision kontest mulai nganggo salah siji circus besar ing jaman lan Lordhour mungkin mungkir mungkir, merga laguné wicaksana nganggo penyakit politik sing terjemahan, sing dinggo dinggo dinggo dinggo dinggo dinggo dinggo dinggo dinggo dinggo dinggo dinggo dinggo dinggo dinggo dinggo dinggo dinggo dinggo ding sing ding ding ding ding ding sing ding."
45,0,"Lan aku ora mung maca referensi utawa apa-apa ing kono, nanging mung ngomong, film iki ngrasa sedhih. Nèk kowe militer latihan, aja meh ndelok DVD karo 2 kanca sing péngin nggawe aksi / perang. Kenapa aku ora mung maca rembusan sing sepisanan. <br /><br />>Ready ing gambaran sepisanan ""bomb"" film kuwi ngganggu gedhé, lan iku terus nduduhké lan dadi luwih gedhé lan luwih gedhé. 2 kancaku, ora limbut karo militer nganggo cara apa waé sing péngin nggawe kesalahan sing mèh cepet kaya aku takon karo aku lan aku isih ana barang realis."
46,0,"Wektu aku ngandhani wong - wong nganggo film dadi hobby, apa sing sepisanan dikatakan yaiku ""Apa sing tak pikiri?"" Ana beberapa masalah ing kono. Pertama, ana kesempatan sing mbokmenawa aku durung weruh, aku rusak reputasiku. Kapindho, aku bisa nggolèk film sing sakjané tanpa realizzasi koyo ana kesudahanmu. Tentangan, aku isa diwènèh DVD kanggo ngganggu pendapatku. Mungkin, aku sibuk disetuju ""The Convent"" sing tak weruh pilihanmu, ning aku ora bakal ngedelok reputasiku. Moro's ragu-salah sing tak ngganggu kok kecanduan, aku maksud gambar pendindhunganku, aku maksudé kecanduan, aku maksud gunané pendindho kok."
47,0,"Kabèh film X-Men kuwi gedhé. Dan aku maksudé kabèh, klebu sing panjang digethingi X-Men 3. Para wong kuwi nduwé karakter sing paling apik (Magneto lan Xavier kuwi sing paling apik, nganggo pendapatanku), lan ana arch sing apik.<br /><br />Aku gam seneng banget wektu krungu film kuwi ana ing produsi, lan aku ngarep maksudé saya besar lan besar nganti aku ndelok film kuwi. Aku rasakké banget.<br />Hugh Jackman ora ana aktor sing salah (film sing paling apik iku Fountain, senajan kowé ora isa krungu bab film iki wektu ngomongké bab aktor), lan aku ora rumangsaké film sing dinggo film kuwi. </bbr> Kuwi nggangguhké film sing dimaksud Xbr / KWulter> sing dimaksirké."
48,0,"Seneng sing ora nggumun karo stal 'n slach scare sing nganggo gener horor ing taun 1980. Iki difilm dadi Pranks, ning dilebokké yaiku The Dorm that Dript Blood, sing jeneng nyolong saka anthologya anthologya anthologi sing lumrah taun 1970. Daphne Zuniga kuwi mung wajah sing isa dikenalké ing cast lan iki yaiku film horror sing sepisanan (jono uga ana ing The Initiation and The Fly II)."
49,0,"Sing asliné ""les wiseurs"" kuwi asliné, luar biasa, senang lan cepet sampurna. LV2 kudu dadi kanddha kanggo ""Sekel sepisanan kanggo film sing bener"". Ing LV2 saben wong terus tenggek, wektu gag ora nggolèk sepiro kuwi diulang 5 ping ngarep mung ngarep koyo bakal dadi luput. LV2 kuwi parody sing mlebu LV1, ketimbang ana parody sing kudu dimainké. Nèk kowe tresna LV1 ora mung ndelok film iki, delok LV1 lagi!"
50,0,"Imam sing gedhé lan ngrembug panggonan sing apik ing Kanada. Pengalaman kuwi, ana ing sisih liyané, mlebu. Kanggo aku kuwi crita katresnan ing hutan kaya Titanic sing jenengé katresnan ing kapal. Aku ora rumangsa Grey Owl kuwi lingkungan sing gedhé. Aku biyasané kaya Lord Attenborough, ning kuwi ora apik."
51,0,!!!!!!!!!!!!!!!! Aku yakin proyek iki mulai nganggo wilayah tulisan skerm kanggo ngedohi klichés dalam film horror: Wong protagonist - Check sing salah kelakon narkoba - Check Heorine ora nggat penyakit sing marah - Check Heroine nggat sereng penyampatan - Cocok sereng serengna mung nggawa pendidikan kono mung nggawa heroine - Pancèn Pancèn koyo ana wong sing ngirim listik cliché to film to film timbang nggunakké film kuwi kanggo kelas. Liyane mung nèk London transpor sing regel kaya clichés nekna kok ngganggu pakendhungan kok mung dinggo dinggo dinggo dinggo pendindholi film sing tak ngganggumun nggawaké utawa nggak dinggo tingkah.
52,0,"Film iki tradisional kekuwatan lintang, sentimentalitas lan katresnan. Opo aku nggumun karo film iki yaiku pendapatan sing saru-saru karo ibuku. Wong sing hayang anak karo wong sakwisé sèks karo wong lanang (tine keluarga sing péngin anak) dudu wong surogate. Ibu kuwi ora dadi kandidat sing apik kanggo ibu surogate. Aku wis ndelok film India lan televisyo nduduhké nèk 10 tekan 15 taun kepungkur kuwi sing marah. Saben idea film kuwi anyoh lan paling pantes. Aku sadhar nèk film bolly mung dudu tegesé mung muji, nanging ora nggat."
53,1,"Burlinson lan Thornton mènèhi perkembangan sing luar biasa ing film iki, bareng karo Dennehy. Senajan mulai dipikir mung bab katresnan, kuwi pancèn tenan. Alam sing éndah nganggo film iki, ngenekan ing antarané salah siji sing paling tak delok. Jaran kuwi pancèn luar biasa!! Sapa jaran-penunggang ing kono bakal nresnani film iki!<br /><br /><br />"
54,0,"Kaya - kayané ora mung nggolèk rekaman kuwi. Ora mung nggolèk rekaman kuwi, nanging ora isa tumindak! Dickens angèl, tenan, ning iki gampang nggumun banget! Micawber kuwi luwih bungah kanggo ninggalké ana bagéan sing paling penting ing nulis. Rancangan kuwi kuwi hazy, konsekvensi lan hekip kanggo ngomong sing luwih apik. Aku ora péngin ngomong apa-apa sing dirungokké karo aktor, ning kuwi ora isa ngetrapké. Dickens kuwi angèl, tenan, ning sing nggumun banget! Micawber kuwi ora mung anu tengah - tengah abad ke - tine Kramer, lan sing kurang ngomong bab Betys Trotwood! Nèk kowe péngin ndelok Coparfield sing nyenengké, sing cocog."
55,0,"Wong wédok sing ora gampang diserang lan diserang karo kelompok psiko-dimensional, wektu ketemu ing jalan hutan ing Shropshire, Inggris. Wong lan wédok sing diserang lan diserang karo para penyebaran...<br /><br />Uteral revolveling to voleurist truck, ana ana kelompok psycho-dimensional wektu ketemu ing perang ing Shoupshire, Inggris. Wong lanang sing diserang lan diserang karo wong-woro sing disebabké, sing diserang karo penyebaran sing gampang disebabkan, sing disebabkan karo pecah-cacacayat, sing disebabti, lan kebukti kejat senjata, sing disebab tapi dinggo kejat dinggo kejat-kendhong buk-bukti."
